Темы:,Где найти материалы?,Входные тесты
5 класс,"Мерзляк, Виленкин, Никольский, Зубарева, Петерсон и Дорофеев (повышенный уровень)",Есть
1. Ряд натуральных чисел.,,
"2. Прямая, луч, отрезок.",,
3. Шкалы и координатный луч.,,
4. Сравнение натуральных чисел.,,
5. Сложение и вычитание натуральных чисел.,,
6. Числовые и буквенные выражения.Формулы.,,
7. Уравнение.,,
8. Умножение и деление натуральных чисел.,,
9. Упрощение выражений.,,
10. Степень числа.,,
11. Математическая модель. Решение задач.,,
12. Угол. Виды углов. Биссектриса угла.,,
13. Треугольник и его виды.Формула площади.,,
14. Прямоугольник. Формула площади.,,
15. Прямоугольный параллелепипед. Формула объема.,,
16. Окружность и круг.,,
17. Обыкновенные дроби. Правильные и неправильные дроби. Сравнение дробей. Смешанные числа.,,
18. Сложение и вычитание обыкновенных дробей с одинаковыми знаменателями. + Сложение и вычитания смешанных чисел.,,
19. Умножение обыкновенных дробей. + Умножение смешанных чисел.,,
20. Деление обыкновенных дробей. + Деление смешанных чисел.,,
21. Задачи на нахождения части от целого и целого по части.,,
"22. Десятичные дроби. Запись, сравнение десятичных дробей.",,
23. Сложение и вычитание десятичных дробей.,,
24. Умножение десятичных дробей.,,
25. Деление десятичных дробей.,,
26. Среднее арифметическое.,,
27. Проценты. Решение задач.,,
6 класс,"Мерзляк, Виленкин, Никольский, Зубарева, Петерсон и Дорофеев (повышенный уровень)",Есть
"1. Делители и кратные. Делимость произведения, суммы и разности чисел.",,
"2. Признаки делимости на 2, 5, 10, 4 и 25.",,
3. Признаки делимости на 3 и 9.,,
4. Простые числа. Разложение числа на простые множители.,,
5. Наибольший общий делитель.,,
6. Наименьшее общее кратное.,,
7. Основное свойство дроби. Сокращение дробей.,,
8. Приведение дробей к общему знаменателю. Сравнение дробей.,,
9. Сложение и вычитание дробей с разными знаменателями. + Сложение и вычитание смешанных чисел.,,
10. Умножение дробей. Нахождение дроби от числа.,,
11. Деление дробей.Взаимно обратные числа. Деление дробей.,,
12. Нахождение числа по заданному значению дроби.,,
13. Преобразование обыкновенной дроби в десятичную.,,
14. Отношения. Деление числа в данном отношении.,,
15. Пропорции.,,
16. Прямая и обратная пропорциональные зависимости.,,
17. Масштаб.,,
18. Окружность и круг. Длина окружности и площадь круга.,,
19. Симметрия.,,
"20. Цилиндр, конус,шар.",,
21. Положительные и отрицательные числа. Координатная прямая.,,
22. Модуль числа. Противоположные числа. Целые числа. Рациональные числа.,,
23. Сравнение чисел рациональных чисел.,,
24. Сложение рациональных чисел.,,
25. Вычитание рациональных чисел.,,
26. Умножение и деление рациональных чисел.,,
27. Раскрытие скобок. Упрощение выражений.,,
28. Решение уравнений.,,
29. Решение задач на составление уравнений.,,
30. Координатная плоскость. Графики.,,
7 класс,,Есть
Алгебра,"Колягин, Макарычев, Алимов, Никольский, Мордкович, Дорофеев, Петерсон, Мерзляк, Зив.",
1. Числовые и алгебраические выражения. Алгебраические равенства.,,
2. Линейное уравнение с одной переменной. Решение задач.,,
3. Линейная функция и ее график.,,
4. Системы двух линейных уравнений с двумя переменными.,,
5. Метод подстановки.,,
6. Метод алгебраического сложения.,,
"7. Решение задач, сводящихся к решению системы уравнений.",,
8. Степень с натуральным показателем и ее свойства.,,
9. Одночлены. Стандартный вид одночлена.,,
10. Сложение и вычитание одночленов.,,
11. Умножение одночленов. Возведение одночлена в натуральную степень.,,
12. Деление одночлена на одночлен.,,
13. Многочлены. Сложение и вычитание многочленов.,,
14. Умножение многочлена на одночлен.,,
15. Умножение многочлена на многочлен.,,
16. Вынесение общего множителя за скобки.,,
17. Метод группировки.,,
18. Разложение многочленов на множители с помощью формул сокращенного умножения.,,
19. Разложение многочленов на множители с помощью комбинации различных приемов.,,
20. Алгебраические дроби. Сокращение дробей.,,
21. Сложение и вычитание алгебраических дробей.,,
22. Умножение и деление алгебраических дробей.,,
23. Тождества.,,
24. Элементы комбинаторики.,,
ФСУ,,
Геометрия,"Атанасян, Зив, Смирнов, Балаян, Мерзляк",
"1. Прямая, отрезок, луч.",,
"2. Углы. Виды углов, сравнение, измерение.",,
3. Перепендикулярные прямые.,,
4. Треугольники. Первый признак равенства.,,
5. Второй и третий признак равенства треугольников.,,
"6. Медиана, биссектриса и высота треугольника.",,
7. Свойства равнобедренного треугольника.,,
8. Параллельные прямые.,,
9. Аксиома параллельных прямых.,,
10. Сумма углов треугольника. Виды треугольников.,,
11. Соотношения между сторонами и углами треугольника.,,
12. Прямоугольные треугольники. Свойства и признаки равенства.,,
8 класс,,Есть
Алгебра,"Колягин, Макарычев, Алимов, Никольский, Мордкович, Дорофеев, Петерсон, Зив, Мерзляк.",
1. Алгебраические дроби. Действия с алгебраическими дробями.,,
2. Степень с целым показателем. Отрицательная степень.,,
3. Функция y=k/x и ее график.,,
Арифметический квадратный корень. Свойства квадратных корней.,,
Приближенное вычисление квадратных корней. Рациональные числа. Иррациональные числа,,
"5. Преобразования выражений, содержащих квадратный корень.",,
6. Функция √x и ее график и свойства.,,
7. Кубический корень.+ Двойные радикалы.,,
8. Квадратичная функция и ее свойства.,,
9. Графическое решение квадратных уравнений.,,
10. Квадратые уравнения. Формулы корней квадратного уравнения.,,
11. Неполные квадратные уравнения.,,
"12. Теорема Виета. Теорема, обратная теореме Виета.",,
13. Решение задач.,,
14. Разложение квадратного трехчлена на множители.,,
15. Биквадратные уравнения.Дробно-рациональные уравнения.+Иррациональные уравнения.,,
16. Решение систем уравнений.,,
17. Решение задач с помощью систем уравнений.,,
Решение линейных неравенств,,
Решение систем неравенств,,
 Координатная прямая. Сравнение чисел на координатной прямой,,
Свойства числовых неравенств,,
"19. Модуль числа. Уравнения и неравенства, содержащие модуль.",,
20. Приближенные вычисления.,,
21. Квадратые неравенства. Решение квадратных неравенств с помощью графика квадратичной функции.,,
22. Метод интервалов.,,
23. Исследование квадратичной функции.,,
Геометрия,"Атанасян, Зив, Смирнов, Балаян, Мерзляк",
1. Многоугольники. Выпуклый многоугольник.,,
2. Параллелограмм и трапеция.,,
"3. Прямоугольник, ромб. квадрат.",,
"4. Площадь многоугольника, квадрата и прямоугольника.",,
5. Площадь параллелограмма.,,
6. Площадь треугольника.,,
7. Площадь трапеции.,,
8. Теорема Пифагора. Теорема обратная теореме Пифагора.,,
9. Формула Герона.,,
10. Признаки подобия треугольников.,,
11. Средняя линия треугольника.,,
12. Пропорциональные отрезки в прямоугольном треугольнике.,,
13. Соотношения между сторонами и углами прямоугольного треугольника.,,
14. Касательная и окружность.,,
15. Центральные и вписанные углы.,,
16. Четыре замечательные точки треугольника.,,
17. Вписанная окружность.,,
18. Описанная окружность.,,
9 класс,,Есть
Алгебра,"Колягин, Макарычев, Алимов, Никольский, Мордкович, Дорофеев, Петерсон, Зив, Мерзляк.",
1. Числовые последовательности.,,
2. Арифметическая прогрессия.,,
3. Сумма n первых членов арифметической прогрессии.,,
4. Геометрическая прогрессия.,,
5. Сумма n первых членов геометрической прогрессии.,,
6. Степень с целым показателем.,,
7. Арифметический корень натуральной степени. Корень n-ой степени.,,
8. Возведение в степень числового неравенства.,,
9. Степенная функция. Область определения функции.,,
10. Возрастание и убывание функции.,,
11. Четность и нечетность функции.,,
12. Функция y=k/x и ее график и свойства.,,
"13. Неравенства и уравнения, содержащие степень.",,
14. Случайные события. Вероятность событий.,,
15. Решение вероятностных задач с помощью комбинаторики.,,
16. Сложение и умножение вероятностей.,,
17. Относительная частота и закон больших чисел.,,
18. Множество точек на координатной плоскости.,,
19. Уравнение окружности.,,
20. Уравнение прямой.,,
21. Системы уравнений и неравенств.,,
22. Иррациональные системы. Системы с модулями.,,
"23. Решение задач с помощью уравнений, неравенств или их систем.",,
Геометрия,"Атанасян, Зив, Смирнов, Балаян, Мерзляк",
1. Векторы. Сложение и вычитание векторов.,,
2. Умножение вектора на число. Применение векторов к решению задач.,,
3. Метод координат.,,
4.Основное тригонометрчиеское тождество. Формулы приведения.,,
5. Теорема о площади треугольников.,,
6. Теорема синусов.,,
7. Теорема косинусов.,,
8. Скалярное произвеление векторов.,,
"9. Правильные многоугольники. Окружность, описанная около правильного многоугольника.",,
"10. Окружность, вписанная в правильный многоугольник.",,
"11. Формулы для вычисления площади правильного многоугольника, его стороны и радиуса вписанной окружности.",,
12. Длина окружности и площадь круга.,,
13. Параллельный перенос и поворот.,,
14. Многогранники *.,,
15. Тела и поверхности вращения*.,,
10 класс,,
Алгебра,,
Натуральные и целые числа,,
Рациональные числа,,
Иррациональные числа,,
Множество действительных чисел,,
Модуль действительного числа,,
Наибольшее и наименьшее значение функции,,
Четные и нечетные функции,,
Построение графиков функций с помощью геометрических преобразований,,
Обратная функция,,
Равносильные уравнения и неравенства,,
Доказательсво числовых неравенств,,
Метод интервалов,,
Степенная функция с натуральным показателем,,
Степенная функция с целым показателем,,
Корень н-ой степени. Функция корня н-ой степени,,
Свойства корня н-ой степени,,
Свойства степени с рациональным показателем,,
Иррациональные уравнения,,
Иррациональные неравенства,,
Показательные уравнения,,
Показательные неравенства,,
Системы показательных уравнений и неравенств,,
Тригонометрические функции. Радианная мера угла,,
Числовая окружность. Числовая окружность на координатной плоскости.,,
Синус и косинус.Тангенс и котангенс.,,
Знаки значений триганометрических функций. Четность и нечетность триганометрических функций,,
Свойства и графики функций y=sinx y=cosx,,
Свойства и графики функций y=tgx y=ctgx,,
Тригонометрические тождества,,
Формулы сложения,,
Формулы двойного угла,,
Формулы половинного угла,,
Формулы приведения,,
Сумма и разность синусов. Сумма и разность косинусов,,
Произведение синусов и косинусов,,
Решение тригонометрических уравнений и неравенств,,
Решение тригонометрических уравнений методом разложения на множители,,
Решение тригонометрических уравнений методом замены неизвестного.,,
Системы тригонометрических уравнений.,,
Числовые последовательности,,
Предел числовой последовательности,,
Предел функции,,
Определение производной,,
Вычисление производных,,
Дифференцирование сложной функции.,,
Дифференцирование обратной функции,,
Уравнение касательной к графику функции,,
Применение производной для исследования функций на монотонность и экстремумы,,
Построение графиков функций с помощью геометрических преобразований,,
Нахождение наименьших и наибольших значений функции,,
Свойства вероятностей событий,,
Случайные события и их веростности ,,
Геометрия,,
Понятие многогранника.Призма,,
Пирамида,,
Правильные многогранники,,
Понятие вектора.Равенство векторов,,
Сложение и вычитание векторов,,
Умножение вектора на число,,
Компланарные векторы,,
Координаты точки и координаты вектора,,
Скалярное произведение векторов,,
"Параллельность прямых, прямой и плоскости",,
Взаимное расположение прямых в пространстве.Углом между двумя прямыми,,
Параллельность плоскостей,,
Тетраэдр и параллелепипед,,
Перпендикулярность прямых и плоскостей,,
11 класс,,
Алгебра,,
Логарифмы и свойства логарифмов,,
,,
Десятичные и натуральные логарифмы,,
"Логарифмическая функция, ее свойства и график",,
Логарифмические уравнения,,
Логарифмические неравенства,,
Многочлены от одной переменной,,
Многочлены от нескольких переменных,,
уравнений выших степеней,,
Первообразная и неопределенный интеграл,,
Определенный интеграл,,
Задачи с параметрами,,
Метод математической индукции,,
Перестановка и размещение,,
Сочения (комбинации),,
Бинон Ньютона,,
Геометрия,,
Цилиндр,,
Конус,,
Сфера,,
Объе прямоугольного параллелепипеда,,
Объемы прямой призмы и цилиндра,,
"Объемы наклонной призмы, пирамиды и конуса",,
Объемы шара и площадь сферы,,